,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
26,ChochilinoRadio,,,27,95,291485,0,New York Open can’t find its place in the updated 2021 ATP calendar https://t.co/cQq41smOyy,[]
27,TobySportsLaw,⚽️🎾⚖️🏏🏉,London,189,74,599,3,Exclusive: BT Sport agree £110m three-year broadcasting deal with Premiership Rugby. @CERichardson_ reports — https://t.co/9W9ALfXoj1 — https://t.co/mLs4xKv73q,[]
28,DavidLeanLeano,In 2013 nobody wanted to prosecute Barry Bennell. But after my fight he was finally convicted in May 2015. Now a Level 4 Diploma Counselling student.,Views are all my own !! ,4741,7207,98540,7,"Who is watching your children play sport, do we re... https://t.co/6eRO8yUcYP https://t.co/9eMvqi9QpN",[]
29,NewshubSport,Got a story tip or feedback? Email news@newshub.co.nz. #Newshub,New Zealand,310,8451,56357,0,Kiwi Lydia Ko best on show in second round of LPGA event in Florida https://t.co/136uoohVeD https://t.co/VMCUQNOdVB,[]
30,TimesLIVE,"🧐News, features and analysis from our newsroom https://t.co/qL4LClV629📱💻For Sunday's best reads follow @sundaytimesza📰For Smart News follow @SunTimesDaily🧠","Johannesburg, South Africa",947,1496035,305888,1,India dismissed Australia for 191 in 72 overs on Friday to take a 53-run first-innings lead that looked highly unlikely in the first half hour of a dramatic second day of the day-night first test at Adelaide Oval. https://t.co/r5FaPt3JPA,[]
31,UteAcademy,Utah Student-Athlete Development Program - Building Champions for Life,"Salt Lake City, Utah",332,261,227,11,"Congratulations to @Utah_Football TE Dalton Kincaid! He's received the 2020 Utah Athletes in Service Award, sponsored by the University's @BennionCenter. The award honors athletes who excel in their sport, in the classroom and in the community:
https://t.co/fTYgJyNW4f

#GoUtes https://t.co/WyyjwGc44Q",[]
32,ovi100travel,Discover the magic world of travel and adventure through storytelling and photography.,"Toronto, Ontario",1361,1735,2301,30,"""We should be less afraid to be afraid. It's a very valid emotion and it's something we shouldn't shy away from.""

Emily Harrington tells @cnnsport about her historic El Capitan climb and how she’s learned to manage fear. https://t.co/XGGOUZUhmM https://t.co/F3t3qMTwPo",[]
33,SocialWJustice1,"Married, SocialWorker, loves dogs, travel, baseball and Tai Chi",,1426,804,116726,33,"""We should be less afraid to be afraid. It's a very valid emotion and it's something we shouldn't shy away from.""

Emily Harrington tells @cnnsport about her historic El Capitan climb and how she’s learned to manage fear. https://t.co/XGGOUZCGve https://t.co/xRkcOl09xx",[]
34,Karkazis,Professor | Bylines: @nytimes @guardian @wired | Guggenheim fellow | Testosterone: An Unauthorized Biography | katrina.karkazis@emory.edu,USA,402,4125,10816,3,@hrw thank you once again for being the strongest voice for women in sport. I wish this commitment to our human rights could come from those in charge of global sport. Until then: End Abusive Sex Testing for Women Athletes https://t.co/meW5khSESN @MinkysHighjinks @Karkazis✅,[]
35,ZaniTheFirst,"I tweet about THIS and THAT, HERE and THERE, NOW and THEN... almost all the time! Birthday: May 7th",South Africa,554,337,57847,0,Women in Sport: In partnership with gsport4girls https://t.co/oz9WWSshXC https://t.co/87B7OKRhO3,[]
36,ChochilinoRadio,,,27,95,291485,0,Oleksandr Zinchenko: The Contenders to Sign Him &amp; Where He Might End Up https://t.co/TKyI7GSinM,[]
37,ChochilinoRadio,,,27,95,291485,0,There Is More to Anthony Martial’s Game Than Just Scoring Goals https://t.co/4ctsbFjNGv,[]
38,emmadons,"(she/her)  🏡Ott - ⚽️🎓UHart, CT - 📍Ldn",,397,233,6043,4,"Former Hawk Hayley Nolan ('18) was recently featured on ""Ultimate Goal!"" Check out some clips from the episode, courtesy of BT Sport &amp; WatchInsight TV!

📽 VIEW FULL CLIPS: https://t.co/wjRdNd5oDv
📖 LEARN MORE: https://t.co/0PxOxFNy3R https://t.co/GxcD5G9KNS",[]
39,LFC___Fans,"Unofficial #LFC fan page, bringing you all the latest club news as it happens!",Liverpool,5910,8457,23773,0,(Images) Liverpool fans infuriated by BT Sport commentator’s clueless Klopp tweet https://t.co/zxm1sRRAUw,[]
40,TimesLIVE,"🧐News, features and analysis from our newsroom https://t.co/qL4LClV629📱💻For Sunday's best reads follow @sundaytimesza📰For Smart News follow @SunTimesDaily🧠","Johannesburg, South Africa",947,1496035,305888,0,Next weekend’s Currie Cup match between the Bulls and the Lions in Pretoria is in serious doubt after an outbreak of Covid-19 cases at Loftus this week. https://t.co/w1wy2rSzUw,[]
41,CroquetKnob,"Mapping the tensions between presence and absence, or, Drowning in a viscous sea of Seans",a small village in MN,380,127,36904,10,"https://t.co/uwkbhc7tkX
Three hunting towers destroyed in Germany.

“We are the Animal Liberation Front and we will come back to defend the forest.
More towers will fall until they stop this so-called sport, which is nothing else but murder.

Smash speciesism!” https://t.co/IHtCTX21zk",[]
42,hackneywick,"One diverse, multi-generational family's positive view in & around the East End. No postcodes.","Hackney Wick, east London, UK",14748,13416,493345,1,Cricket South Africa (CSA) has included Dwaine Pretorius and uncapped Raynard van Tonder and Lutho Sipamla to the Proteas squad for the two-match Test series against Sri Lanka. https://t.co/iKys7L84ig,[]
43,FrancescCesc1,Gent com cal.,,2034,744,95779,30,"""We should be less afraid to be afraid. It's a very valid emotion and it's something we shouldn't shy away from.""

Emily Harrington tells @cnnsport about her historic El Capitan climb and how she’s learned to manage fear. https://t.co/XGGOUZUhmM https://t.co/F3t3qMTwPo",[]
44,mximilian_klein,International Sports Policy for @Athleten_de | Student @harvard | b4: PA Consultant in German tech policy @millermeier | Proud Saarländer | Views are my own,"Berlin, Deutschland",887,474,1045,10,"WADA’s Athlete Committee is disappointed with the decision of the Court of Arbitration for Sport (CAS) not to impose stricter and longer sanctions on Russia in line with those that were recommended by WADA. 

Find out more ➡️ https://t.co/WIojYTdsrh https://t.co/3r9r7eb4RY",[]
45,timoconnorbl,"Lawyer, writer on rugby and the law, rugby tragic, sailor. All views entirely personal.",,1217,11050,144362,10,"WADA’s Athlete Committee is disappointed with the decision of the Court of Arbitration for Sport (CAS) not to impose stricter and longer sanctions on Russia in line with those that were recommended by WADA. 

Find out more ➡️ https://t.co/WIojYTdsrh https://t.co/3r9r7eb4RY",[]
46,GlobalAthleteHQ,Progressive athlete start-up movement aiming to inspire athletes and drive change across the world of sport,,5000,3070,3250,10,"WADA’s Athlete Committee is disappointed with the decision of the Court of Arbitration for Sport (CAS) not to impose stricter and longer sanctions on Russia in line with those that were recommended by WADA. 

Find out more ➡️ https://t.co/WIojYTdsrh https://t.co/3r9r7eb4RY",[]
47,SiiliViin,"Rally fan since childhood. Two reasons: my grandpa, we visit often RX when I was under 10 and uncle, who drove rally and from where I got real taste of rallying",Estonia,112,39,3011,0,"@PanteAlex @eWRCresults What team? I thought, WRC2 is for manufacturers only. VW sport department is finishing at 21.12.2020.",[]
48,SebGillotWADA,@WADA_AMA Director 🇪🇺 Office and IF Relations | Formerly @UCI_cycling @AIBA_Boxing #Annecy2018 @FIFAcom @PSG_inside | #AllezParis #COYS | Views my own,🇨🇭,544,836,1774,10,"WADA’s Athlete Committee is disappointed with the decision of the Court of Arbitration for Sport (CAS) not to impose stricter and longer sanctions on Russia in line with those that were recommended by WADA. 

Find out more ➡️ https://t.co/WIojYTdsrh https://t.co/3r9r7eb4RY",[]
49,MichaelDugher,"Industry leader, recovering politician. CEO of standards body @BetGameCouncil, ex-CEO @UK_Music. Views here all mine. Ex-MP, Shadow SofS & No10 chief spokesman","Here, There and Everywhere",5259,34801,46769,0,"Great to see @spellar in the @NewStatesman talking about the importance of tackling problem gambling, supporting the Govt’s ‘evidence-led’ review of betting + acknowledging the role the regulated industry plays in supporting jobs, tax, tourism &amp; sport 🇬🇧
 https://t.co/jLw1tNZkBn",[]
50,Xander0894,🕵️‍♂️📊 𝙐.𝙆. 𝘽𝙖𝙨𝙚𝙙 𝙎𝙘𝙤𝙪𝙩 𝙛𝙤𝙧 @scheerenveen 💻📝,"Leeds, England",887,2254,20029,2,"🚨Few bits from me this week:

🔈@guardian_sport Football Weekly: https://t.co/1eRkbW5zKT

🔈@WorldFootballi pod: https://t.co/4C59vweFdn

🔈@SoundOfFootball pod: https://t.co/FOMkwxNZeH

📝 @JustFootball: Blog on new #Brexit rules: https://t.co/LWUpdOPM3S

Have a great weekend!",[]
51,INFOLEKIOSK,"Pas doué en com, ça fait longtemps, je le sais, certains viennent de s'en apercevoir.
La surprise est à la conscience ce que l'étincelle est au baril de poudre.",Gap banlieue - France,4992,1399,38327,10,"https://t.co/uwkbhc7tkX
Three hunting towers destroyed in Germany.

“We are the Animal Liberation Front and we will come back to defend the forest.
More towers will fall until they stop this so-called sport, which is nothing else but murder.

Smash speciesism!” https://t.co/IHtCTX21zk",[]
52,Sportslaw_Asser,"Asser International #Sportslaw Centre @TMCAsser | Ideas, Blogs, Articles & Books on Transnational Sports Law | Tweets by @Ant1Duval.","The Hague, the Netherlands",877,5890,13674,10,"WADA’s Athlete Committee is disappointed with the decision of the Court of Arbitration for Sport (CAS) not to impose stricter and longer sanctions on Russia in line with those that were recommended by WADA. 

Find out more ➡️ https://t.co/WIojYTdsrh https://t.co/3r9r7eb4RY",[]
53,TheKenChilds,"Owner: https://t.co/O5yvrbncis. Winter sport writer, racing announcer, photographer, dog owner, runner, golfer, @DurhamBulls fan, @NCWesleyan alum, fall risk.","Durham, NC",1076,2250,160308,10,"WADA’s Athlete Committee is disappointed with the decision of the Court of Arbitration for Sport (CAS) not to impose stricter and longer sanctions on Russia in line with those that were recommended by WADA. 

Find out more ➡️ https://t.co/WIojYTdsrh https://t.co/3r9r7eb4RY",[]
54,wada_ama,The official Twitter account of the World Anti-Doping Agency (WADA).,Montreal,2119,41031,5045,10,"WADA’s Athlete Committee is disappointed with the decision of the Court of Arbitration for Sport (CAS) not to impose stricter and longer sanctions on Russia in line with those that were recommended by WADA. 

Find out more ➡️ https://t.co/WIojYTdsrh https://t.co/3r9r7eb4RY",[]
55,WorldFootballi,"World football. Global soccer. Podcasts, stories, tactics; scouting, wonderkids, legends. A unique mix of journalism & fandom. #WFi #WFiPodcast #WFEye 🌎🎙🌍✍🌏",contact@worldfootballindex.com,603,14318,17225,2,"🚨Few bits from me this week:

🔈@guardian_sport Football Weekly: https://t.co/1eRkbW5zKT

🔈@WorldFootballi pod: https://t.co/4C59vweFdn

🔈@SoundOfFootball pod: https://t.co/FOMkwxNZeH

📝 @JustFootball: Blog on new #Brexit rules: https://t.co/LWUpdOPM3S

Have a great weekend!",[]
56,Dispatch_DD,"The Daily Dispatch newspaper's live Twitter feed. 
Call us on 043-702-2000.","East London, South Africa",1498,70870,92609,0,Next weekend’s Currie Cup match between the Bulls and the Lions in Pretoria is in serious doubt after an outbreak of Covid-19 cases at Loftus this week https://t.co/VLoiWRHxVc,[]
57,SudOuest_Sport,Toute l'actualité sportive du Sud-Ouest et d'ailleurs,,173,8426,23594,0,Football : Laurent Blanc vers le Qatar https://t.co/LP39T6p9y1 https://t.co/DHz3W40pEu,[]
58,nickhubble2,,,146,33,77,8,"A huge thank you to @uk_sport, @DCMS and @TNLUK for today's confirmation of our Tokyo 2020 and Paris 2024 funding.

Read more ➡️ https://t.co/1ycdzYjfFY",[]
59,TimesLIVE,"🧐News, features and analysis from our newsroom https://t.co/qL4LClV629📱💻For Sunday's best reads follow @sundaytimesza📰For Smart News follow @SunTimesDaily🧠","Johannesburg, South Africa",947,1496035,305888,1,Cricket South Africa (CSA) has included Dwaine Pretorius and uncapped Raynard van Tonder and Lutho Sipamla to the Proteas squad for the two-match Test series against Sri Lanka. https://t.co/iKys7L84ig,[]
60,ShawnMecchi,I’m only here for #SoccerTwitter // Former coach; PxP for @HartfordHawks MSOC/WSOC; avid follower of #AEMSOC #AEWSOC #HartfordAthletic,"West Hartford, CT",426,285,2299,4,"Former Hawk Hayley Nolan ('18) was recently featured on ""Ultimate Goal!"" Check out some clips from the episode, courtesy of BT Sport &amp; WatchInsight TV!

📽 VIEW FULL CLIPS: https://t.co/wjRdNd5oDv
📖 LEARN MORE: https://t.co/0PxOxFNy3R https://t.co/GxcD5G9KNS",[]
61,GambonLiam,Childish Lambino | Multimedia Sports Journalist at @MetroWestSports and The Quincy Sun,,290,427,1473,1,"“It was an awesome way to end my high school career. I always dreamed of winning a state championship.”

Four Wellesley High girls lax alums -- who are now playing Div. I 🥍 -- relive glory days of 2018 state championship @wellesleysports | ✍️: @GambonLiam https://t.co/vsk76QNpiw",[]
62,JFfutbol,"Football consultant, writer, scout. Founder/editor @JustFootball @nordicfootpod. Sports business diploma. I love this game, basically. Multilingual🇫🇷🇩🇪🇪🇸",,2083,4956,13142,2,"🚨Few bits from me this week:

🔈@guardian_sport Football Weekly: https://t.co/1eRkbW5zKT

🔈@WorldFootballi pod: https://t.co/4C59vweFdn

🔈@SoundOfFootball pod: https://t.co/FOMkwxNZeH

📝 @JustFootball: Blog on new #Brexit rules: https://t.co/LWUpdOPM3S

Have a great weekend!",['Brexit']
63,outsports,"The leader in LGBTQ sports news & commentary for athletes, coaches & fans. Part of @SBNation. #CourageIsContagious.",Los Angeles,2670,29946,29548,0,This gay PGA member knows golf is a conservative sport. He hopes his coming-out changes perceptions #CourageIsContagious https://t.co/Gc2gGiFWyp,['CourageIsContagious']
64,Whisper3Point0,,"Cape Town,South Africa",264,27,1036,1,Cricket South Africa (CSA) has confirmed that results of two unnamed members of the Proteas team have returned positive for Covid-19. https://t.co/Uehv7f6MgT,[]
65,robr0013,"Locomotive Engineer extraordinaire, Utes, Chargers, SF Giants, KC Royals, SL Blues.","Ogden, UT ",3549,1348,81758,11,"Congratulations to @Utah_Football TE Dalton Kincaid! He's received the 2020 Utah Athletes in Service Award, sponsored by the University's @BennionCenter. The award honors athletes who excel in their sport, in the classroom and in the community:
https://t.co/fTYgJyNW4f

#GoUtes https://t.co/WyyjwGc44Q",[]
66,CarClassified_,results on the edge😀,,1242,39,14013,0,"2021 Jeep Wrangler Unlimited Sport Bright White Clearcoat for sale - Used Cars for Sale
https://t.co/QwEBUDWw26 https://t.co/5CiycqJctm",[]
67,UOWCommunities,@UOW is creating opportunities and collaborating with global partners to create change in our local and global communities. Get involved today #weareuow,"Wollongong, NSW",1269,1655,2990,3,St George Illawarra Dragons' maths-mad halfback Adam Clune brings degrees in law and finance to NRL https://t.co/rCED6W469N,[]
68,Doyenzo,I Press,"Lagos, Nigeria",502,81,10294,0,"The money man
https://t.co/n1DcKyZVF1 via @Metro_Sport",[]
69,AnneShly,,,146,105,24164,3,"""It was an extraordinary experience,seeing how they enjoy and learn to play as a team,it's essential that the @Fun_Realmadrid continues to support sport for everyone.""
Santiago Solari on visit the wheelchair basketball school.🤍
#RealMadrid
#SantiagoSolari
https://t.co/RGCIkjlsg5",[]
70,MetroWestSports,Covering sports in the MetroWest area. TikTok: https://t.co/VPJyACWh4D Email: dnsports@wickedlocal.com Instagram: https://t.co/FfoX5Dh8jy,"Framingham, MA",351,7641,37506,1,"“It was an awesome way to end my high school career. I always dreamed of winning a state championship.”

Four Wellesley High girls lax alums -- who are now playing Div. I 🥍 -- relive glory days of 2018 state championship @wellesleysports | ✍️: @GambonLiam https://t.co/vsk76QNpiw",[]
71,NicholasGainor,Youngstown State University🐧YSUMBB 🏀Follower of Christ✝️,,1702,319,2536,2,"Column: My time was thanks to the people @TribChronSports 
https://t.co/8SeF13gdYB",[]
72,HHSDutchSports,"Official Twitter Account of Holland High School Athletics, Go Dutch!",,205,1522,6412,0,"New Story: Winter Sport Update - Friday, Dec 18th https://t.co/MOrwkmSgOV",[]
73,JSODonoghue,"Senior reporter and podcast producer at  @illuminatorLA; Previously: @stlpublicradio, @NOLANews, @MedillSchool, @macalester; D.C. native; @capitals forever",Baton Rouge,1459,10959,67052,6,"Congratulations to Jade Lewis, who has earned her degree in Sport Administration!

📄 https://t.co/i8C04F0Oe2 https://t.co/JRAxvMRt0t",[]
74,Kop__News,Everything related to #LFC!,Liverpool,4294,15008,19947,0,(Images) Liverpool fans infuriated by BT Sport commentator’s clueless Klopp tweet https://t.co/DiFmOImM4X,[]
75,PMMarshall,"Proud Pro-Vice-Chancellor UEL, PhD American History, MCC member and Dr Who marathoner",Sussex,936,1265,5307,8,"We are proud to announce the launch of the East London Talent Pathway with @Sport_England. 

Athletes from Black, Asian &amp; Minority Ethnic backgrounds will enjoy unique access to the very best facilities &amp; resources at our world-class @UELSportsDock:

https://t.co/I0ddW0f3pc https://t.co/cDstFWis5s",[]
76,LeekHndrxx,,Texas ,725,1841,129089,1,"#ad Kawhi x New Balance 997 Sport ""Neo Flame"" is available for $51.99 (Retail $110) + FREE SHIP

BUY HERE: https://t.co/5pfStzsSDx https://t.co/YGVb3gfPSd",['ad']
77,DopeKixDaily,Daily sneaker deals and releases,,55332,42802,50346,1,"#ad Kawhi x New Balance 997 Sport ""Neo Flame"" is available for $51.99 (Retail $110) + FREE SHIP

BUY HERE: https://t.co/5pfStzsSDx https://t.co/YGVb3gfPSd",['ad']
78,jvargoBiz,"Future @TheBizJournal writer.
Former APME award-winning sports enterprise/columnist. 
Kent State University graduate. Columbus Crew fan.","Youngstown, OH",883,1404,21807,2,"Column: My time was thanks to the people @TribChronSports 
https://t.co/8SeF13gdYB",[]
79,sports_hounds,one thousand years on the sport beat,"Melbourne, Victoria",123,243,1108,0,"SEVEN DAYS IN SPORT: To the surprise of very few, the Test selectors lost their biggest gamble, writes RON REED. https://t.co/yd45aATo5U",[]
80,LeBron4LSU,Enjoy the ride & bring others along! Former LSU & USL Walk-On student-athlete. Family/Friends/Sports/Fitness Start-ups/Food Geaux🐯🐏🦡✌ Chiefs Saints 🏈⚾🏀⛷️🚴,Hammond LA to Santa Fe NM,817,420,5343,6,"Congratulations to Jade Lewis, who has earned her degree in Sport Administration!

📄 https://t.co/i8C04F0Oe2 https://t.co/JRAxvMRt0t",[]
81,ABCBrynPalmer,Freelance digital & social media editor. Previously headed up rugby union and features for BBC Sport website.,"Edinburgh, Scotland",1327,3514,3759,3,"""After the first Test, I thought he was strong but I knew I could hold my own against him."" 💪

@ABCBrynPalmer spoke to @adamjones3 about 'The Day I tamed the Beast', an iconic moment from the 2009 Tour which transformed Jones' reputation in the sport.

https://t.co/sPNc17dS7X",[]
82,ChochilinoRadio,,,27,95,291485,0,"Tottenham vs Leicester Preview: How to Watch on TV, Live Stream, Kick Off Time &amp; Team News https://t.co/hK8UzF1Wl4",[]
83,ChochilinoRadio,,,27,95,291485,0,Coca-Cola Give Fans Chance to Win Premier League Title This Christmas https://t.co/ow4ro07ur3,[]
84,brooknetsboy8,"bk bound@http://netsdaily.com. Bk Nets, Md Terps, Nats/Expos, Orangemen, America's Team, Lennon. BBiomechanics advocate.  King, Molloy, Metro HS,  Rising Stars.",,810,197,1501,11,"My reprint col: I never met Satchel Paige (who is now a ""major leaguer""). But I knew Bill Veeck who knew Paige as well as anyone on the MLB side of the sport. When Paige died in '82, I called Veeck to ""tell me about Satchel."" Man, did he ever. Enjoy. https://t.co/hNQBAFRjmd",[]
